found_date,serial,mark,applicant,applicant_country,route,international_registration,office_action,office_action_date,filing_date,tsdr_status
2026-09-01,97383200,SPIDERHERO-COS,Yu Youmei,CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2022-04-26,https://tsdr.uspto.gov/#caseNumber=97383200&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,97383193,TANDUAJI,Su ChengNuo,CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2022-04-26,https://tsdr.uspto.gov/#caseNumber=97383193&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,97383190,TAKUXUCE,Wang RuiPeng,CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2022-04-26,https://tsdr.uspto.gov/#caseNumber=97383190&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,97383184,XSUPPERPARTS,ruianshidanaodaidianzishangwuyouxiangongsi,CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2022-04-26,https://tsdr.uspto.gov/#caseNumber=97383184&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,97383176,VCL VACOLWN,Pang Shikun,CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2022-04-26,https://tsdr.uspto.gov/#caseNumber=97383176&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,97383161,ZBAWVINI,"Guangzhou Zhongzhe e-commerce Co., Ltd.",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2022-04-26,https://tsdr.uspto.gov/#caseNumber=97383161&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,97352557,MILOCUPIC,"Dongguan Junshan E-Commerce Co., Ltd.",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2022-04-07,https://tsdr.uspto.gov/#caseNumber=97352557&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,97352553,LYONUCZS,"Shenzhen Yucaidie Trading Co., Ltd.",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2022-04-07,https://tsdr.uspto.gov/#caseNumber=97352553&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,97352548,LOFANCRANT,"Baoding Weimiao Trading Co., Ltd.",CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2022-04-07,https://tsdr.uspto.gov/#caseNumber=97352548&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,97352541,LA'NORAH,Su Linfeng,CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2022-04-07,https://tsdr.uspto.gov/#caseNumber=97352541&caseType=SERIAL_NO&searchType=statusSearch
2026-09-01,97352536,JIAYZQQQ,Jiang Lianhua,CN,Direct US application,,NON-FINAL ACTION E-MAILED,2026-08-31,2022-04-07,https://tsdr.uspto.gov/#caseNumber=97352536&caseType=SERIAL_NO&searchType=statusSearch
